languagerepresentation,length,time
Java-BitSet, 16 , 0.006365081
Java-BitSet, 32 , 0.001434606
Java-BitSet, 64 , 0.001450037
Java-BitSet, 128 , 0.001361699
Java-BitSet, 256 , 0.001350813
Java-BitSet, 512 , 0.001240836
Java-BitSet, 1024 , 9.87883E-4
Java-BitSet, 2048 , 9.65223E-4
Java-BitSet, 4096 , 9.8046E-4
Java-BitSet, 8192 , 0.001253525
Java-BitSet, 16384 , 0.001028226
Java-BitSet, 32768 , 9.95842E-4
C-char[], 16, 0.002878
C-char[], 32, 0.002853
C-char[], 64, 0.002882
C-char[], 128, 0.001657
C-char[], 256, 0.000968
C-char[], 512, 0.000959
C-char[], 1024, 0.000930
C-char[], 2048, 0.000933
C-char[], 4096, 0.000885
C-char[], 8192, 0.000930
C-char[], 16384, 0.000876
C-char[], 32768, 0.000936
Go-BitVector, 16 ,  0.007175967
Go-BitVector, 32 ,  0.006622946
Go-BitVector, 64 ,  0.007004578
Go-BitVector, 128 ,  0.006591046000000001
Go-BitVector, 256 ,  0.0067569200000000005
Go-BitVector, 512 ,  0.009016849
Go-BitVector, 1024 ,  0.010639969
Go-BitVector, 2048 ,  0.012898868
Go-BitVector, 4096 ,  0.016347362
Go-BitVector, 8192 ,  0.023365120000000003
Go-BitVector, 16384 ,  0.036971601
Go-BitVector, 32768 ,  0.064236417
C++-BitString, 16, 0.03982
C++-BitString, 32, 0.034755
C++-BitString, 64, 0.03486
C++-BitString, 128, 0.034734
C++-BitString, 256, 0.034732
C++-BitString, 512, 0.034942
C++-BitString, 1024, 0.034801
C++-BitString, 2048, 0.034712
C++-BitString, 4096, 0.03469
C++-BitString, 8192, 0.034687
C++-BitString, 16384, 0.034689
C++-BitString, 32768, 0.0349
perlsimple-BitString, 16, 0.273413
perlsimple-BitString, 32, 0.265994
perlsimple-BitString, 64, 0.265106
perlsimple-BitString, 128, 0.272828
perlsimple-BitString, 256, 0.271842
perlsimple-BitString, 512, 0.271139
perlsimple-BitString, 1024, 0.295829
perlsimple-BitString, 2048, 0.304725
perlsimple-BitString, 4096, 0.322271
perlsimple-BitString, 8192, 0.350229
perlsimple-BitString, 16384, 0.4167
perlsimple-BitString, 32768, 0.558216
